Date,Stratum,Landsat,Guzinski,row,col
2019_04_02,0_1th,2.5185483,1.0782841,4982,3902
2019_04_02,0_1th,2.7257047,1.119051,8933,9508
2019_04_02,0_1th,1.9485991,0.9674659,7110,5887
2019_04_02,0_1th,2.0714328,1.1319355,8313,7613
2019_04_02,0_1th,1.5645783,1.1064423,3647,6130
2019_04_02,0_1th,1.4161888,1.1763954,2949,3630
2019_04_02,0_1th,1.2722771,0.859087,3228,4420
2019_04_02,0_1th,1.7884403,1.1213396,3082,8228
2019_04_02,0_1th,3.13,1.2060602,5990,10880
2019_04_02,0_1th,0.8290894,0.7345731,3009,8373
2019_04_02,0_1th,1.8854759,1.1794652,8841,9044
2019_04_02,0_1th,3.0500002,1.1352497,5471,10356
2019_04_02,0_1th,0.5892002,0.95511067,7791,5017
2019_04_02,0_1th,1.1339493,1.0449771,1572,9825
2019_04_02,0_1th,1.4091139,0.6547647,4431,7014
2019_04_02,0_1th,0.41501364,1.1532311,3009,2718
2019_04_02,0_1th,0.6129074,0.6161014,3804,4172
2019_04_02,0_1th,1.588673,0.8673543,4232,7275
2019_04_02,0_1th,1.617175,1.155855,4801,6635
2019_04_02,0_1th,1.122502,0.7899273,5896,10254
2019_04_02,0_1th,3.0600002,1.2050881,5265,10497
2019_04_02,0_1th,0.9084174,1.0860324,6896,5957
2019_04_02,0_1th,0.37772346,0.9040778,2844,3919
2019_04_02,0_1th,0.11202025,0.91091454,3264,4024
2019_04_02,0_1th,2.0966706,0.78618497,6049,11224
2019_04_02,0_1th,1.2499684,1.1939937,9875,8472
2019_04_02,0_1th,2.1618235,0.48041785,3040,3707
2019_04_02,0_1th,1.1046627,0.5688995,1740,9735
2019_04_02,0_1th,1.8622847,1.2032665,4109,8688
2019_04_02,0_1th,2.4465864,1.0335972,6047,6091
2019_04_02,0_1th,1.6080401,0.88345194,4854,9926
2019_04_02,0_1th,0.7094998,0.9881033,5642,9877
2019_04_02,0_1th,2.2966228,1.0937256,2944,9395
2019_04_02,0_1th,2.2119682,1.1737914,3557,4018
2019_04_02,0_1th,2.0679772,1.1545929,5779,7795
2019_04_02,0_1th,1.2402701,0.9243183,4518,7263
2019_04_02,0_1th,2.4228463,1.0715059,2939,7790
2019_04_02,0_1th,2.0201616,1.094029,6664,9687
2019_04_02,0_1th,1.68672,0.8061389,3933,3652
2019_04_02,0_1th,1.81709,0.88891804,1912,8668
2019_04_02,0_1th,2.4405437,0.71214753,1682,7983
2019_04_02,0_1th,2.0282433,0.9150946,4235,6091
2019_04_02,0_1th,1.7063339,1.1869234,4596,2224
2019_04_02,0_1th,1.6329367,1.0024137,3195,7119
2019_04_02,0_1th,2.4026227,1.0989014,7884,6440
2019_04_02,0_1th,2.4686844,0.96415645,8516,5369
2019_04_02,0_1th,1.1251775,0.38437578,4528,9555
2019_04_02,0_1th,2.3468235,0.64451057,9951,9008
2019_04_02,0_1th,1.1631359,1.1903743,8869,6750
2019_04_02,0_1th,1.2836995,0.9658054,3735,3414
2019_04_02,0_1th,2.1495793,0.93302345,5800,10812
2019_04_02,0_1th,1.4033012,1.1985587,2215,8047
2019_04_02,0_1th,1.6965159,1.163349,10861,8976
2019_04_02,0_1th,0.08909017,0.9305539,3782,3923
2019_04_02,0_1th,2.9260676,0.9330366,6029,11218
2019_04_02,0_1th,0.75753033,0.8582342,1711,8761
2019_04_02,0_1th,0.40208337,1.1104252,2586,8352
2019_04_02,0_1th,0.47441128,0.99744475,7193,4587
2019_04_02,0_1th,2.0028934,0.9268945,5805,10802
2019_04_02,0_1th,2.8251693,1.1524926,8737,11874
2019_04_02,0_1th,2.4912193,0.99931836,4099,9411
2019_04_02,0_1th,1.8799114,0.3168879,3868,9721
2019_04_02,0_1th,0.821627,1.1565534,1817,8741
2019_04_02,0_1th,3.0700002,0.9346778,5575,10497
2019_04_02,0_1th,0.21609604,1.116969,1752,7756
2019_04_02,0_1th,1.8188976,1.1095586,3614,5209
2019_04_02,0_1th,1.7644596,0.99898887,5871,7991
2019_04_02,0_1th,0.7622985,1.0400708,3998,4548
2019_04_02,0_1th,1.2692449,0.92885387,5874,10251
2019_04_02,0_1th,0.7095263,1.1698188,4108,6847
2019_04_02,0_1th,1.278658,1.0133717,9169,7568
2019_04_02,0_1th,0.26820853,1.0381746,2717,3177
2019_04_02,0_1th,0.9516624,0.8728777,3294,3681
2019_04_02,0_1th,1.2718563,0.83366066,10183,9376
2019_04_02,0_1th,2.257288,0.9916279,4447,4481
2019_04_02,0_1th,1.8749694,1.1027664,9128,7742
2019_04_02,0_1th,1.0900825,0.71129155,2500,6769
2019_04_02,0_1th,0.4047904,0.69343585,4385,5884
2019_04_02,0_1th,2.8884234,0.572832,3298,3126
2019_04_02,0_1th,1.2165648,1.1663129,3043,3983
2019_04_02,0_1th,0.6612614,0.8818989,5418,6578
2019_04_02,0_1th,1.9331379,1.1636374,2640,9407
2019_04_02,0_1th,1.090259,0.64050245,4580,9456
2019_04_02,0_1th,1.8676406,0.7396749,5434,3567
2019_04_02,0_1th,2.1492872,0.9304515,4693,2391
2019_04_02,0_1th,0.3652993,1.127755,3499,6004
2019_04_02,0_1th,2.6790638,1.0122479,6714,9651
2019_04_02,0_1th,0.7566318,1.1318414,4040,5286
2019_04_02,0_1th,0.31353462,0.8734432,8366,10640
2019_04_02,0_1th,0.78781277,0.8229296,6246,10666
2019_04_02,0_1th,1.089144,1.0203204,7597,4439
2019_04_02,0_1th,2.313951,1.1686698,5058,7404
2019_04_02,0_1th,0.55388844,1.1708014,4316,4219
2019_04_02,0_1th,1.6844896,0.6356882,2813,3941
2019_04_02,0_1th,2.5628471,1.092423,5729,3747
2019_04_02,0_1th,1.3238025,0.85406685,4461,7302
2019_04_02,0_1th,2.6298754,1.177223,7936,7967
2019_04_02,0_1th,1.2769712,1.1011782,7839,6701
2019_04_02,0_1th,1.3835648,1.114012,4821,9243
2019_04_02,0_1th,0.7363,0.53909934,5812,9942
2019_04_02,0_1th,1.6030248,1.0588591,6595,5434
2019_04_02,0_1th,2.9999907,1.1720532,4517,8335
2019_04_02,0_1th,1.629881,1.0624158,4203,2585
2019_04_02,0_1th,0.73358095,0.93320584,2872,3493
2019_04_02,0_1th,0.22062573,0.29053417,2236,3138
2019_04_02,0_1th,0.07507809,1.0530767,3995,8874
2019_04_02,0_1th,2.2266443,0.8148665,5645,10397
2019_04_02,0_1th,2.2614725,1.1743209,5323,8498
2019_04_02,0_1th,1.4667243,1.0106369,3709,6348
2019_04_02,0_1th,0.41852772,0.7529427,7036,4890
2019_04_02,0_1th,0.9850901,0.9631958,2706,3067
2019_04_02,0_1th,2.135496,0.6726661,3548,4027
2019_04_02,0_1th,0.55874324,1.1269896,9593,7235
2019_04_02,0_1th,2.8335357,1.1829801,3804,2375
2019_04_02,0_1th,2.3815598,1.0752648,6630,5777
2019_04_02,0_1th,1.0541193,1.2161381,9175,9447
2019_04_02,0_1th,1.2282245,1.131424,10706,6846
2019_04_02,0_1th,2.301786,1.0453013,9573,8883
2019_04_02,0_1th,2.488348,0.8196201,5059,9745
2019_04_02,0_1th,1.5358609,0.6524673,7930,7219
2019_04_02,0_1th,0.55233854,0.8672839,8855,6526
2019_04_02,0_1th,1.9945458,1.1520005,4482,2335
2019_04_02,0_1th,1.9719402,0.5497816,12237,8801
2019_04_02,0_1th,1.3044753,1.0516281,3397,3933
2019_04_02,0_1th,0.20111105,1.1545295,8890,10341
2019_04_02,0_1th,1.2504369,1.0048472,5960,8772
2019_04_02,0_1th,2.1864796,0.89674246,6007,7781
2019_04_02,0_1th,0.42866388,1.2121896,3134,4147
2019_04_02,0_1th,2.2997773,1.0094361,4493,5007
2019_04_02,0_1th,1.4755455,1.0205021,3468,3131
2019_04_02,0_1th,0.39181104,1.1698781,4307,3035
2019_04_02,0_1th,1.4467865,1.1202967,5554,6479
2019_04_02,0_1th,2.0122008,1.1616215,2530,8464
2019_04_02,0_1th,2.050589,0.90032345,6473,10065
2019_04_02,0_1th,2.257156,1.1280234,1467,9059
2019_04_02,0_1th,0.6347574,0.33735263,7186,11055
2019_04_02,0_1th,0.8516272,0.9319131,5892,10261
2019_04_02,0_1th,1.3930551,1.2106702,3374,3127
2019_04_02,0_1th,0.29067233,0.72631955,11372,9285
2019_04_02,0_1th,1.145523,0.7094242,3876,5730
2019_04_02,0_1th,0.27744633,1.227687,3836,4160
2019_04_02,0_1th,1.8021865,1.147833,6037,4761
2019_04_02,0_1th,0.3280522,0.74940646,6108,4762
2019_04_02,0_1th,1.03276,0.5951135,5227,10123
2019_04_02,0_1th,1.564579,0.9749363,2550,2813
2019_04_02,0_1th,1.024771,1.1521266,7203,10335
2019_04_02,0_1th,1.7861227,0.7765494,2907,3386
2019_04_02,0_1th,0.7061429,0.5774261,5108,10126
2019_04_02,0_1th,1.194019,0.8325167,7051,5331
2019_04_02,0_1th,0.65802586,0.7383326,1790,8256
2019_04_02,0_1th,1.9031366,0.45608312,4424,4091
2019_04_02,0_1th,0.44231987,1.0134861,2462,7756
2019_04_02,0_1th,2.467157,0.8812779,8493,6878
2019_04_02,0_1th,1.4306228,0.80144256,4599,7706
2019_04_02,0_1th,2.1480813,1.1288232,7861,9178
2019_04_02,0_1th,1.5311631,1.2013494,5807,8101
2019_04_02,0_1th,1.9564764,1.1429758,3413,5058
2019_04_02,0_1th,2.4416203,1.1097538,3203,8973
2019_04_02,0_1th,2.2131047,0.6072469,2569,8074
2019_04_02,0_1th,2.3451974,1.0221572,1904,8151
2019_04_02,0_1th,0.6011564,0.7772238,2253,3090
2019_04_02,0_1th,1.3465577,0.8786795,3869,3238
