Date,Stratum,Landsat,Guzinski,row,col
2019_06_13,0_1th,3.516507,1.7463897,9048,11434
2019_06_13,0_1th,1.0803576,3.597166,2348,8487
2019_06_13,0_1th,1.3319101,2.7458072,9852,11038
2019_06_13,0_1th,3.5594401,3.5426204,9001,8476
2019_06_13,0_1th,2.241141,3.611254,7770,10749
2019_06_13,0_1th,3.0141764,3.5464692,6473,9128
2019_06_13,0_1th,2.7097163,2.7305863,9637,11421
2019_06_13,0_1th,0.81380767,3.3124664,6081,4526
2019_06_13,0_1th,2.1172442,3.6017594,9741,7278
2019_06_13,0_1th,4.2394056,3.448825,12739,9120
2019_06_13,0_1th,1.3613633,3.2255547,9966,11234
2019_06_13,0_1th,2.462875,2.7510138,3314,8864
2019_06_13,0_1th,3.835038,3.1862864,5260,10470
2019_06_13,0_1th,2.7800572,2.664867,9516,9865
2019_06_13,0_1th,3.5255272,2.344498,5804,10499
2019_06_13,0_1th,3.1630404,3.6208568,1798,8716
2019_06_13,0_1th,3.3164983,3.4552197,12654,9058
2019_06_13,0_1th,4.382254,2.168595,8521,10159
2019_06_13,0_1th,3.097758,2.6821518,11573,8647
2019_06_13,0_1th,4.793753,2.8746767,8051,11672
2019_06_13,0_1th,1.754764,3.3554895,10193,8985
2019_06_13,0_1th,2.765983,0.55143386,6156,11176
2019_06_13,0_1th,2.5437193,2.0421336,11031,9158
2019_06_13,0_1th,2.29975,1.3045524,6451,11122
2019_06_13,0_1th,2.9212918,3.5712113,9947,8055
2019_06_13,0_1th,4.605795,2.9294715,12645,8528
2019_06_13,0_1th,3.5567348,2.958627,3379,9250
2019_06_13,0_1th,3.8896928,3.6066895,6202,5735
2019_06_13,0_1th,3.8745985,3.2591996,10098,10499
2019_06_13,0_1th,1.6121774,3.513277,10930,7755
2019_06_13,0_1th,2.4305794,2.8698795,8137,10198
2019_06_13,0_1th,3.7950802,2.801945,9860,11135
2019_06_13,0_1th,3.409457,1.6696788,2316,10322
2019_06_13,0_1th,2.6615756,2.9487267,12106,7504
2019_06_13,0_1th,2.1550364,3.5076578,12577,8133
2019_06_13,0_1th,2.502974,3.5521052,6127,11092
2019_06_13,0_1th,3.5847592,3.0067809,9604,8729
2019_06_13,0_1th,0.92337453,2.4542913,11530,11116
2019_06_13,0_1th,2.2231507,2.5917976,3207,9343
2019_06_13,0_1th,3.9133842,1.1667778,2318,9628
2019_06_13,0_1th,2.5156124,3.262597,10621,8416
2019_06_13,0_1th,1.1973059,0.9367209,5959,10143
2019_06_13,0_1th,3.9384513,3.1310325,8953,11595
2019_06_13,0_1th,1.2457759,3.2640986,8684,10022
2019_06_13,0_1th,3.9293697,3.2363071,9297,9345
2019_06_13,0_1th,2.9935644,1.4203175,3440,9826
2019_06_13,0_1th,2.71339,3.2249103,2955,4182
2019_06_13,0_1th,1.8394595,2.718483,6253,11153
2019_06_13,0_1th,4.128481,3.6121812,3813,2087
2019_06_13,0_1th,3.0645363,3.6059105,3980,8912
2019_06_13,0_1th,1.8871647,3.5956383,10791,11737
2019_06_13,0_1th,3.4520247,3.262872,4440,8598
2019_06_13,0_1th,3.6047904,3.3360033,3602,9056
2019_06_13,0_1th,4.077096,3.1172447,11435,9169
2019_06_13,0_1th,2.652223,3.1281896,3004,1028
2019_06_13,0_1th,5.0570664,2.7369652,9712,9480
2019_06_13,0_1th,2.3201706,3.2848916,11691,9964
2019_06_13,0_1th,2.8220046,3.6130657,5338,5763
2019_06_13,0_1th,2.6761246,3.364441,8070,10167
2019_06_13,0_1th,2.2493963,3.598322,6996,9461
2019_06_13,0_1th,2.7711458,2.972681,3174,1199
2019_06_13,0_1th,2.80054,2.2288911,7554,11145
2019_06_13,0_1th,2.1780276,3.4730825,2929,2342
2019_06_13,0_1th,2.228211,3.5595264,6324,10493
2019_06_13,0_1th,3.9739892,2.5209615,8029,9166
2019_06_13,0_1th,2.7569392,3.4704628,9185,9857
2019_06_13,0_1th,3.1778061,1.5423746,5576,10802
2019_06_13,0_1th,2.472763,1.9572544,4467,7624
2019_06_13,0_1th,1.1758659,3.5656104,3692,7269
2019_06_13,0_1th,0.49512568,3.5233047,4553,2090
2019_06_13,0_1th,2.8541927,2.9898167,10285,9493
2019_06_13,0_1th,0.43189842,3.1308599,11059,11622
2019_06_13,0_1th,2.6135654,3.1838446,6160,10710
2019_06_13,0_1th,2.6454098,2.8529022,3485,48
2019_06_13,0_1th,4.2715564,3.1563783,9985,9245
2019_06_13,0_1th,4.1150208,3.3081024,9289,9781
2019_06_13,0_1th,3.3794067,3.241485,8093,9957
2019_06_13,0_1th,3.8995652,3.018056,12726,9116
2019_06_13,0_1th,3.3556674,1.9035468,2222,9157
2019_06_13,0_1th,2.9363005,2.592487,9948,11046
2019_06_13,0_1th,4.3604846,2.0674381,4805,9654
2019_06_13,0_1th,0.7607069,2.828777,6667,8541
2019_06_13,0_1th,2.813271,2.8426263,3823,2107
2019_06_13,0_1th,3.0037553,3.3977404,2535,2835
2019_06_13,0_1th,3.6503801,3.310653,4539,6851
2019_06_13,0_1th,3.7463467,3.555688,11043,10554
2019_06_13,0_1th,1.2063957,1.917525,9283,9765
2019_06_13,0_1th,2.6687415,3.2456815,9276,9405
2019_06_13,0_1th,0.9622638,3.118326,9224,9742
2019_06_13,0_1th,4.3894253,1.695841,4777,9467
2019_06_13,0_1th,1.8038821,3.2633147,11260,8139
2019_06_13,0_1th,2.713821,3.4054449,3801,6317
2019_06_13,0_1th,3.3095806,3.3248851,12668,7998
2019_06_13,0_1th,2.4364731,3.0229583,10593,10347
2019_06_13,0_1th,2.2963545,3.1005025,11534,8778
2019_06_13,0_1th,3.8002965,3.3346932,1735,7854
2019_06_13,0_1th,0.7283993,2.813636,10309,10358
2019_06_13,0_1th,3.4134743,3.5208535,2646,9964
2019_06_13,0_1th,2.493464,3.255834,2902,1971
2019_06_13,0_1th,1.5913748,3.470159,6710,8351
2019_06_13,0_1th,2.4875875,3.650558,6439,8376
2019_06_13,0_1th,2.9884572,2.510767,8772,10514
2019_06_13,0_1th,4.1806073,3.260943,9601,8735
2019_06_13,0_1th,2.8386292,2.8029168,11396,10575
2019_06_13,0_1th,2.8585985,1.3104104,11545,10426
2019_06_13,0_1th,1.7355462,3.177328,9792,8181
2019_06_13,0_1th,2.072249,3.3807952,10905,11216
2019_06_13,0_1th,2.6892252,3.542957,2306,9645
2019_06_13,0_1th,2.556592,3.4618104,6041,10932
2019_06_13,0_1th,1.965769,3.2762885,10162,8003
2019_06_13,0_1th,1.0710812,3.222485,7249,10670
2019_06_13,0_1th,2.464296,3.031387,8860,10483
2019_06_13,0_1th,2.7755778,3.164061,7591,10930
2019_06_13,0_1th,1.785004,3.6217556,5566,9998
2019_06_13,0_1th,3.1359158,3.0810533,12186,7591
2019_06_13,0_1th,0.9107809,3.1720219,5840,10161
2019_06_13,0_1th,4.0038033,0.4097477,3626,9956
2019_06_13,0_1th,1.9211626,3.477818,7037,9994
2019_06_13,0_1th,2.9101944,3.6636653,6703,3192
2019_06_13,0_1th,1.7590765,2.6946492,1760,9746
2019_06_13,0_1th,0.100828715,2.8259068,6711,3833
