Date,Stratum,Landsat,Guzinski,row,col
2019_07_19,0_1th,2.581822,2.9257658,6271,8331
2019_07_19,0_1th,1.644855,1.5344236,10453,9687
2019_07_19,0_1th,2.9003446,2.9162745,2877,1969
2019_07_19,0_1th,3.6895647,2.3342738,7844,11551
2019_07_19,0_1th,3.0365608,2.6877928,4610,6404
2019_07_19,0_1th,0.73245186,2.217156,9503,8622
2019_07_19,0_1th,2.32789,2.093359,3616,10066
2019_07_19,0_1th,3.3713374,2.9301991,12384,7544
2019_07_19,0_1th,2.9726412,2.9036176,11880,8766
2019_07_19,0_1th,2.556449,1.6923536,12759,8379
2019_07_19,0_1th,0.39678246,2.3827007,3570,9472
2019_07_19,0_1th,2.3954678,2.8424315,4537,2211
2019_07_19,0_1th,1.5525709,1.6075665,3111,1052
2019_07_19,0_1th,1.5999599,2.5048556,9193,6799
2019_07_19,0_1th,5.0469265,2.790742,7571,11272
2019_07_19,0_1th,1.6263462,2.468708,12212,7023
2019_07_19,0_1th,1.4744682,2.703649,9369,10577
2019_07_19,0_1th,5.383172,1.8790902,7688,7549
2019_07_19,0_1th,1.7289041,2.9723182,10529,9970
2019_07_19,0_1th,0.30487487,2.966693,6801,11136
2019_07_19,0_1th,0.81534576,2.7866514,9031,9279
2019_07_19,0_1th,4.0705476,2.548914,9742,5806
2019_07_19,0_1th,1.1722212,2.9625473,6749,4534
2019_07_19,0_1th,2.3576267,2.6183746,4500,2014
2019_07_19,0_1th,2.141461,2.934902,10927,10025
2019_07_19,0_1th,4.5114856,2.9643464,4907,5719
2019_07_19,0_1th,0.7004917,2.2648563,4022,2328
2019_07_19,0_1th,3.8713887,1.836983,4511,6956
2019_07_19,0_1th,1.9084811,2.7455227,4133,6578
2019_07_19,0_1th,3.1367493,2.9294329,5838,5513
2019_07_19,0_1th,2.9870625,2.2605808,6452,11187
2019_07_19,0_1th,2.2138135,2.4198008,8586,8797
2019_07_19,0_1th,2.9123383,2.561003,11591,8552
2019_07_19,0_1th,1.4083077,2.7442913,8422,7044
2019_07_19,0_1th,0.21520847,1.9421576,12751,7159
2019_07_19,0_1th,0.23224054,2.3782368,10801,9719
2019_07_19,0_1th,0.5408894,1.707978,8091,11721
2019_07_19,0_1th,0.9069351,2.374209,2344,9153
2019_07_19,0_1th,4.095227,2.5430765,12359,9124
2019_07_19,0_1th,4.5024605,2.5440562,9625,8995
2019_07_19,0_1th,2.6281064,2.9145067,4659,5174
2019_07_19,0_1th,2.404946,2.32125,1867,9622
2019_07_19,0_1th,1.3269753,2.32475,3783,6456
2019_07_19,0_1th,2.3537042,1.3094049,12414,9597
2019_07_19,0_1th,0.22800739,2.621664,11869,7134
2019_07_19,0_1th,2.304037,2.672587,8513,11511
2019_07_19,0_1th,0.6180111,2.592578,9228,9936
2019_07_19,0_1th,2.0872114,2.7705336,9186,9355
2019_07_19,0_1th,0.90299755,2.8965442,3490,1232
2019_07_19,0_1th,0.40993136,2.73036,11355,9313
2019_07_19,0_1th,2.0090022,1.2779868,8820,11882
2019_07_19,0_1th,3.5896246,2.8836563,9761,7244
2019_07_19,0_1th,1.2008709,2.6359143,10910,7740
2019_07_19,0_1th,2.4804587,2.6715252,3078,9023
2019_07_19,0_1th,1.3887111,2.9762232,7049,5847
2019_07_19,0_1th,3.1139214,1.6931695,7712,11091
2019_07_19,0_1th,1.5812953,2.344347,10457,10241
2019_07_19,0_1th,2.9057922,2.3617516,9800,9225
2019_07_19,0_1th,3.2053607,2.5650756,10132,10414
2019_07_19,0_1th,1.4965535,2.2831979,9750,9720
2019_07_19,0_1th,1.5053531,2.8971531,8084,6613
2019_07_19,0_1th,3.3527017,2.8708134,10880,7091
2019_07_19,0_1th,1.751975,2.678422,9051,8549
2019_07_19,0_1th,3.010426,2.3821883,5572,10217
2019_07_19,0_1th,0.6779822,2.9471242,11123,11095
2019_07_19,0_1th,2.3412235,2.1524615,7548,7109
2019_07_19,0_1th,3.9279466,2.7890048,7232,10934
2019_07_19,0_1th,4.0209093,1.9893285,10251,10319
2019_07_19,0_1th,2.3094459,2.9552617,6177,4961
2019_07_19,0_1th,3.5956137,2.161646,10988,7553
2019_07_19,0_1th,1.0352048,2.9655778,12743,6897
2019_07_19,0_1th,1.1426125,2.0791478,10048,11157
2019_07_19,0_1th,1.7404757,1.9010379,9582,9760
2019_07_19,0_1th,3.278208,2.7749481,8835,4532
2019_07_19,0_1th,0.36631253,2.5802507,1594,9379
2019_07_19,0_1th,1.2587154,1.6552659,12692,6821
2019_07_19,0_1th,3.394267,2.5892253,3485,557
2019_07_19,0_1th,1.2086484,1.6496265,2619,9814
2019_07_19,0_1th,1.8451111,2.8448658,6831,10460
2019_07_19,0_1th,1.7054029,2.6458144,12450,7217
2019_07_19,0_1th,1.2820116,2.5163298,6593,5065
2019_07_19,0_1th,1.8720413,2.9612064,10391,8088
2019_07_19,0_1th,3.4276533,2.3126173,12548,7520
2019_07_19,0_1th,0.23904032,2.5150847,6860,4522
2019_07_19,0_1th,3.4933965,2.3571334,7454,4681
2019_07_19,0_1th,3.6034322,1.0336999,6467,11217
2019_07_19,0_1th,1.0757134,2.616719,7605,6788
2019_07_19,0_1th,1.5739315,2.752248,11964,7119
2019_07_19,0_1th,3.099807,2.3939896,2117,8944
2019_07_19,0_1th,2.1471653,2.5105667,10396,9673
2019_07_19,0_1th,2.231713,2.8420272,2490,8773
2019_07_19,0_1th,3.8966088,2.7525885,11179,7763
2019_07_19,0_1th,2.8435745,2.8979251,12474,8924
2019_07_19,0_1th,0.85344857,2.9271417,4017,7027
2019_07_19,0_1th,0.22797635,2.3919976,9138,6814
2019_07_19,0_1th,3.289302,2.6521626,9816,7240
2019_07_19,0_1th,3.576297,2.036371,10814,9318
2019_07_19,0_1th,2.162772,2.4998507,12247,7169
2019_07_19,0_1th,2.4807782,1.4330075,6086,11015
2019_07_19,0_1th,0.13934417,1.8889681,7074,10824
2019_07_19,0_1th,0.0796815,1.0272249,9047,11424
2019_07_19,0_1th,4.7789288,2.5297308,9273,7205
2019_07_19,0_1th,0.9783808,2.4671826,11630,8098
2019_07_19,0_1th,2.1241162,2.0691924,10385,10136
2019_07_19,0_1th,2.39767,2.8366032,2697,4384
2019_07_19,0_1th,2.7592847,2.8379683,2956,8202
2019_07_19,0_1th,1.3269486,2.2139592,11848,9014
2019_07_19,0_1th,3.6818058,2.5531313,10312,8588
2019_07_19,0_1th,1.60516,2.8348439,12562,7294
2019_07_19,0_1th,2.9450767,2.7336245,2351,10339
2019_07_19,0_1th,2.2463355,2.4111524,2073,10294
2019_07_19,0_1th,2.6625056,1.9634662,2349,9853
2019_07_19,0_1th,0.7627918,2.2312517,6708,11083
2019_07_19,0_1th,2.6745086,2.0687256,11552,10415
2019_07_19,0_1th,2.6823575,2.6626248,9936,6564
2019_07_19,0_1th,0.0064992085,2.9669557,6343,8475
2019_07_19,0_1th,2.7965262,2.8887815,12698,8360
2019_07_19,0_1th,1.649089,2.7438943,6282,4060
2019_07_19,0_1th,5.508732,2.7003717,9359,11809
2019_07_19,0_1th,3.7922344,2.5123272,10304,8661
2019_07_19,0_1th,4.4175844,2.423679,10743,10473
2019_07_19,0_1th,2.4939108,2.446694,5076,9600
2019_07_19,0_1th,3.0012445,2.1204662,4160,4126
2019_07_19,0_1th,3.8029768,2.4959815,9282,10493
2019_07_19,0_1th,0.5592411,1.6787758,11409,10064
2019_07_19,0_1th,0.28091514,2.0871482,9884,10576
2019_07_19,0_1th,2.667615,2.9655747,4872,5084
2019_07_19,0_1th,1.1451837,0.47689104,9600,11464
2019_07_19,0_1th,3.9587731,2.8438048,4145,1882
2019_07_19,0_1th,0.7369504,2.4933538,10943,7499
2019_07_19,0_1th,2.2283432,2.808942,12620,7421
2019_07_19,0_1th,2.1833105,2.7155828,10535,8337
2019_07_19,0_1th,0.76740235,1.4743032,9831,9155
2019_07_19,0_1th,1.6480781,2.4620576,11793,7130
2019_07_19,0_1th,4.709432,1.2027268,5774,7855
2019_07_19,0_1th,0.51089656,2.7459142,9841,10111
2019_07_19,0_1th,3.9093995,2.629025,9906,11082
2019_07_19,0_1th,3.1052747,2.6844516,3097,1290
2019_07_19,0_1th,0.5735411,1.6219611,2682,10066
2019_07_19,0_1th,0.21956055,2.1616654,7925,9478
2019_07_19,0_1th,2.9434521,2.5592027,11131,9935
2019_07_19,0_1th,3.268618,2.5763874,12594,7945
2019_07_19,0_1th,1.8414264,1.8866476,12664,7670
2019_07_19,0_1th,3.0350544,2.4985929,6941,11006
2019_07_19,0_1th,0.5323033,1.8405406,8396,10359
2019_07_19,0_1th,2.7139106,2.8053017,10661,8441
2019_07_19,0_1th,1.4426392,2.6572795,2816,7913
2019_07_19,0_1th,2.0564647,2.83784,3188,1985
2019_07_19,0_1th,3.168312,2.8253,3991,6671
2019_07_19,0_1th,1.1335946,1.8073957,10332,10549
2019_07_19,0_1th,4.0014634,2.8566854,6946,9578
2019_07_19,0_1th,2.3210304,1.952107,10324,10896
2019_07_19,0_1th,3.1701763,2.9320898,5358,5990
2019_07_19,0_1th,1.2567563,1.2710464,7899,11752
2019_07_19,0_1th,1.7811859,2.1627355,11712,6869
2019_07_19,0_1th,0.21681333,2.8627803,4522,4980
2019_07_19,0_1th,3.143454,0.30538222,6565,11190
2019_07_19,0_1th,2.793316,2.824058,2646,2353
2019_07_19,0_1th,2.2880907,2.8949273,9827,7282
2019_07_19,0_1th,3.4352918,2.4764876,9581,8917
2019_07_19,0_1th,0.75614643,2.3082895,2876,9474
2019_07_19,0_1th,2.1781569,2.5143542,11693,8223
2019_07_19,0_1th,5.0647,2.6695666,11820,7496
2019_07_19,0_1th,1.8152233,2.6464984,7686,4664
2019_07_19,0_1th,0.54448426,2.9329631,9458,8684
2019_07_19,0_1th,2.4487984,2.9615378,4474,2820
2019_07_19,0_1th,3.9198513,2.7562814,6770,4645
2019_07_19,0_1th,3.2436113,1.9059219,2846,9959
2019_07_19,0_1th,0.22976927,2.64385,3679,9327
2019_07_19,0_1th,1.7726399,2.6723328,6523,4697
2019_07_19,0_1th,4.6817265,2.951768,12536,7397
2019_07_19,0_1th,2.7527456,2.933821,1034,8489
2019_07_19,0_1th,1.0545914,2.8469605,5645,6214
2019_07_19,0_1th,2.4681168,2.1796272,10374,10365
2019_07_19,0_1th,1.8126928,2.380251,11096,8530
2019_07_19,0_1th,2.248437,2.7582698,6691,5517
2019_07_19,0_1th,1.246391,2.8838973,6268,5254
2019_07_19,0_1th,2.09473,2.7548046,6905,5651
2019_07_19,0_1th,0.7136747,2.5203395,5261,9795
2019_07_19,0_1th,2.1443636,2.8565364,1766,9682
2019_07_19,0_1th,2.5278444,2.678258,4449,2269
2019_07_19,0_1th,2.5599132,1.8252931,9720,9518
2019_07_19,0_1th,1.7165141,2.8704245,4405,3054
2019_07_19,0_1th,0.5624289,2.902102,3641,1734
2019_07_19,0_1th,2.5282602,2.7837422,2543,3316
2019_07_19,0_1th,0.27886242,2.8134327,3301,8990
