Date,Stratum,Landsat,Guzinski,row,col
2019_05_26,0_1th,4.3778367,2.063528,2864,8368
2019_05_26,0_1th,2.636705,1.7818618,5407,9866
2019_05_26,0_1th,2.0912733,1.3158565,5380,10157
2019_05_26,0_1th,4.1812863,1.1942523,5085,10158
2019_05_26,0_1th,1.9566929,2.240753,10384,11539
2019_05_26,0_1th,0.7492067,2.4024498,2031,8746
2019_05_26,0_1th,1.8036981,2.1391842,7871,11755
2019_05_26,0_1th,3.280586,2.4345546,4509,7645
2019_05_26,0_1th,3.4482598,2.1074877,8912,11969
2019_05_26,0_1th,1.4306204,1.367036,4771,7795
2019_05_26,0_1th,2.1961224,1.0771018,5185,7528
2019_05_26,0_1th,3.4040656,1.7373191,9831,11785
2019_05_26,0_1th,3.662627,1.3272755,4665,7417
2019_05_26,0_1th,3.3324556,2.318053,5317,10308
2019_05_26,0_1th,5.069843,1.4625251,9247,11839
2019_05_26,0_1th,1.5286379,2.4441202,6182,11353
2019_05_26,0_1th,4.400435,2.095458,1895,8542
2019_05_26,0_1th,2.9632204,1.299892,8793,11996
2019_05_26,0_1th,2.3564875,1.6925452,8966,11820
2019_05_26,0_1th,2.4421804,1.9018586,6882,10984
2019_05_26,0_1th,2.740887,1.279412,5308,9945
2019_05_26,0_1th,2.4870162,1.7325842,10454,11580
2019_05_26,0_1th,3.5221639,2.4788,7573,11246
2019_05_26,0_1th,4.287357,1.543186,6968,11081
2019_05_26,0_1th,3.9904008,1.6577303,5195,10183
2019_05_26,0_1th,2.8640022,1.7634335,5841,9907
2019_05_26,0_1th,3.448109,1.5398594,5037,9769
2019_05_26,0_1th,4.2058506,1.7669827,9165,11940
2019_05_26,0_1th,3.749386,2.2732224,7437,10707
2019_05_26,0_1th,1.8790146,1.9530523,1772,8372
2019_05_26,0_1th,3.059571,2.2497592,3303,8864
2019_05_26,0_1th,1.4823465,1.2909491,4582,7677
2019_05_26,0_1th,3.4732783,2.1999764,2535,9284
2019_05_26,0_1th,4.498301,2.459755,5737,10195
2019_05_26,0_1th,2.683393,2.1796691,9059,11843
2019_05_26,0_1th,0.44103727,2.330225,5800,10224
2019_05_26,0_1th,2.7204804,2.2864022,10441,11512
2019_05_26,0_1th,1.5819961,2.4170141,1821,8215
2019_05_26,0_1th,3.1448762,2.4370198,2401,8198
2019_05_26,0_1th,2.1261175,2.1412885,4596,7657
2019_05_26,0_1th,2.041668,2.2769923,10453,11674
2019_05_26,0_1th,3.88435,0.4547542,5211,10174
2019_05_26,0_1th,4.1997004,1.4503579,4819,7655
2019_05_26,0_1th,2.9590473,1.0473974,8944,11861
2019_05_26,0_1th,2.9139476,2.4735255,8779,11977
2019_05_26,0_1th,4.7047186,0.85315055,5613,10217
2019_05_26,0_1th,0.30404714,1.9420782,5143,7316
2019_05_26,0_1th,2.4878712,1.886058,5163,7528
2019_05_26,0_1th,4.150532,0.32552913,10810,11874
2019_05_26,0_1th,3.1698022,0.7754189,7544,11303
2019_05_26,0_1th,2.8840191,1.2429509,8900,11783
2019_05_26,0_1th,3.2123277,0.84322333,6926,10975
2019_05_26,0_1th,3.3736744,2.2966056,9841,11727
2019_05_26,0_1th,3.5673773,2.484952,2309,8575
2019_05_26,0_1th,5.3555527,2.3591104,9463,11731
2019_05_26,0_1th,3.6329832,1.238735,8889,11774
2019_05_26,0_1th,0.33048812,2.3596532,6765,9708
2019_05_26,0_1th,3.6564271,0.8778209,8965,11727
2019_05_26,0_1th,1.783559,1.7572594,6661,9699
2019_05_26,0_1th,2.763175,1.7079508,7061,11130
2019_05_26,0_1th,4.1215425,1.10737,4803,9816
2019_05_26,0_1th,2.108493,1.7689397,4588,7662
2019_05_26,0_1th,1.4559935,2.4803407,1808,8218
2019_05_26,0_1th,3.5993283,1.6715572,5343,10179
2019_05_26,0_1th,4.393803,2.1158195,1949,8526
2019_05_26,0_1th,3.5606995,2.3581066,3204,9137
2019_05_26,0_1th,3.4894288,2.3601108,10465,11597
2019_05_26,0_1th,3.0532122,1.8643999,4859,7678
2019_05_26,0_1th,2.8316903,2.4423742,6694,9837
2019_05_26,0_1th,4.0629725,2.43742,5598,10095
2019_05_26,0_1th,3.8709724,1.6161981,10549,11775
2019_05_26,0_1th,1.3178507,2.3088148,9097,11763
2019_05_26,0_1th,1.1177032,2.1123834,5507,9865
2019_05_26,0_1th,1.9089888,2.2220435,10363,11543
2019_05_26,0_1th,3.705134,1.7238283,5541,9851
2019_05_26,0_1th,3.463837,1.5999304,9975,11653
2019_05_26,0_1th,3.297107,2.2871227,2071,8020
2019_05_26,0_1th,2.4745998,1.2049496,8854,11808
2019_05_26,0_1th,3.9480538,0.99807537,9324,11864
2019_05_26,0_1th,2.2012103,1.9713053,5547,10136
2019_05_26,0_1th,2.5837958,1.3978285,4769,7786
2019_05_26,0_1th,3.9371161,1.6614429,9150,11800
2019_05_26,0_1th,3.3776102,2.471654,6682,11344
2019_05_26,0_1th,5.7083473,0.46746886,9414,11821
2019_05_26,0_1th,2.7356484,1.4777104,5420,9886
