Date,Stratum,Landsat,Guzinski,row,col
2019_06_04,0_1th,2.9002872,1.9421885,4173,6754
2019_06_04,0_1th,3.1211498,2.4946804,3129,6649
2019_06_04,0_1th,2.986801,2.4279766,3620,3982
2019_06_04,0_1th,4.2770286,2.8992813,10985,7196
2019_06_04,0_1th,4.027587,1.8471339,5923,10740
2019_06_04,0_1th,3.1967075,2.7596767,3852,2942
2019_06_04,0_1th,4.000194,2.9816942,9956,11070
2019_06_04,0_1th,2.8321521,2.2476764,3636,3015
2019_06_04,0_1th,3.6354082,2.7324233,2923,9362
2019_06_04,0_1th,2.5900607,1.586041,2654,2813
2019_06_04,0_1th,4.309737,2.6863167,5673,4985
2019_06_04,0_1th,1.8315173,2.4058948,6386,9666
2019_06_04,0_1th,1.8940804,1.9651023,3612,5228
2019_06_04,0_1th,3.3240108,2.6102962,9958,7042
2019_06_04,0_1th,3.4626675,2.9295037,6011,11339
2019_06_04,0_1th,3.8355842,1.610538,2234,7668
2019_06_04,0_1th,3.547425,2.298175,6244,10626
2019_06_04,0_1th,2.129303,1.9885947,4721,7695
2019_06_04,0_1th,3.691211,2.728517,2961,8929
2019_06_04,0_1th,2.1832306,2.2492003,1938,7763
2019_06_04,0_1th,3.7351503,2.5180821,6121,6170
2019_06_04,0_1th,4.80133,1.9464215,5989,10834
2019_06_04,0_1th,1.7813369,2.0238016,5417,6581
2019_06_04,0_1th,1.15327,2.4647558,4926,5396
2019_06_04,0_1th,3.6825223,2.8870564,10083,7143
2019_06_04,0_1th,2.048873,1.9146849,12860,8878
2019_06_04,0_1th,2.7854288,2.8765478,3125,7363
2019_06_04,0_1th,1.9220392,2.1575637,7121,5480
2019_06_04,0_1th,4.251911,2.301699,3650,9741
2019_06_04,0_1th,2.3069694,1.6893296,3526,6021
2019_06_04,0_1th,4.0724115,1.9947976,6350,10720
2019_06_04,0_1th,3.6916888,2.8714724,3037,3120
2019_06_04,0_1th,2.5594795,2.6694674,6710,10707
2019_06_04,0_1th,3.7214723,2.384583,11639,8449
2019_06_04,0_1th,2.4278014,2.0395184,3760,5953
2019_06_04,0_1th,3.0199022,1.2919023,4126,3339
2019_06_04,0_1th,3.8282347,2.135871,5848,10748
2019_06_04,0_1th,4.272328,2.8969574,5299,9771
2019_06_04,0_1th,2.9656148,2.81032,5980,4900
2019_06_04,0_1th,2.6252775,1.8512528,1889,7859
2019_06_04,0_1th,2.2545543,2.135643,4323,1884
2019_06_04,0_1th,2.3994248,2.0431094,3156,3891
2019_06_04,0_1th,4.101023,2.1567185,3222,4289
2019_06_04,0_1th,2.085613,1.9679033,4329,5111
2019_06_04,0_1th,3.661793,2.647254,10574,6893
2019_06_04,0_1th,2.2844245,2.8159308,10883,7116
2019_06_04,0_1th,2.5691688,1.9356546,6177,5701
2019_06_04,0_1th,3.6331909,2.9022722,10532,10147
2019_06_04,0_1th,2.0115852,2.9728556,7215,5258
2019_06_04,0_1th,4.502512,1.6108613,6375,10747
2019_06_04,0_1th,1.5868547,0.5575409,9115,11706
2019_06_04,0_1th,1.409853,1.770008,9770,6910
2019_06_04,0_1th,2.693122,2.865674,3419,9308
2019_06_04,0_1th,3.279069,2.882987,6818,10632
2019_06_04,0_1th,4.0598736,2.470438,2778,9690
2019_06_04,0_1th,3.1092222,2.3944738,5594,9353
2019_06_04,0_1th,2.1069996,1.9812543,11326,6924
2019_06_04,0_1th,1.6756647,1.8238661,5231,6632
2019_06_04,0_1th,3.0956674,2.0677996,4073,3324
2019_06_04,0_1th,4.230505,2.8831847,11579,7005
2019_06_04,0_1th,3.5650575,2.9893246,3441,5360
2019_06_04,0_1th,4.2912226,1.4635546,5378,10298
2019_06_04,0_1th,1.5011469,2.5877273,3938,4141
2019_06_04,0_1th,3.3018377,1.6910366,4075,5981
2019_06_04,0_1th,1.2384871,2.9068627,12346,7769
2019_06_04,0_1th,3.5259116,2.9886165,5027,4696
2019_06_04,0_1th,2.431896,2.6886783,4039,5827
2019_06_04,0_1th,3.1910703,2.6075318,3405,3347
2019_06_04,0_1th,2.9196835,2.7860284,5032,4735
2019_06_04,0_1th,3.2247524,2.9185205,7477,6994
2019_06_04,0_1th,3.7897346,1.6781452,2808,2824
2019_06_04,0_1th,3.075473,1.9011645,5187,9489
2019_06_04,0_1th,2.095906,2.3653564,3180,9395
2019_06_04,0_1th,1.2454433,2.4125457,4436,7399
2019_06_04,0_1th,4.5391946,2.348732,9567,6524
2019_06_04,0_1th,2.2770493,2.6683364,8343,10564
2019_06_04,0_1th,2.72864,2.4500117,4601,7126
2019_06_04,0_1th,2.2302847,2.9808593,4196,1487
2019_06_04,0_1th,3.9127822,1.3961369,5986,10501
2019_06_04,0_1th,1.9349147,2.7487462,10216,9417
2019_06_04,0_1th,1.5767509,1.8397899,11968,7351
2019_06_04,0_1th,3.0650253,2.1110244,2255,10178
2019_06_04,0_1th,3.2883985,2.4030223,2268,8472
2019_06_04,0_1th,4.2687116,2.4685504,3053,3625
2019_06_04,0_1th,4.0260105,2.4572022,3923,3800
2019_06_04,0_1th,3.0654793,2.7596354,6985,4853
2019_06_04,0_1th,3.3830888,2.6891842,3498,2481
2019_06_04,0_1th,2.3871799,2.8927422,4891,6539
2019_06_04,0_1th,2.2935686,1.4600261,6363,10722
2019_06_04,0_1th,1.4939061,2.2406878,4693,5462
2019_06_04,0_1th,2.8921087,2.289969,10127,7624
2019_06_04,0_1th,3.4402065,1.6596297,5947,10690
2019_06_04,0_1th,2.033489,2.9821315,11106,7259
2019_06_04,0_1th,2.7834654,2.1293564,3418,5146
2019_06_04,0_1th,3.8433282,2.9118123,4180,6918
2019_06_04,0_1th,3.1555977,2.7935953,4201,4931
2019_06_04,0_1th,3.7499785,2.0127115,9176,7185
2019_06_04,0_1th,0.95756686,1.349505,2781,4487
2019_06_04,0_1th,4.5242343,2.0642762,6308,11314
2019_06_04,0_1th,3.8190808,2.7640874,11173,7293
2019_06_04,0_1th,3.6911201,2.5028725,1862,7831
2019_06_04,0_1th,4.0256834,2.2268262,3631,6190
2019_06_04,0_1th,0.314703,2.7632275,12464,7691
2019_06_04,0_1th,1.1175083,2.6276848,5908,7189
2019_06_04,0_1th,2.5901527,2.2743106,11641,7218
2019_06_04,0_1th,1.6758409,2.7838721,10617,6973
2019_06_04,0_1th,3.404858,2.8937914,7571,5343
2019_06_04,0_1th,3.2161012,2.2024426,6636,11018
2019_06_04,0_1th,2.6625845,2.8966115,7882,11565
2019_06_04,0_1th,3.4101534,2.5391908,7441,7267
2019_06_04,0_1th,3.8084671,2.618136,2323,10322
2019_06_04,0_1th,3.3383477,0.51606244,5228,10163
2019_06_04,0_1th,2.4698527,1.5742307,4438,5940
2019_06_04,0_1th,1.8425825,2.7025452,8278,10036
2019_06_04,0_1th,2.8028793,2.919557,8442,10042
2019_06_04,0_1th,3.0488818,2.7375655,4357,4893
2019_06_04,0_1th,3.6465163,2.7207627,2871,9828
2019_06_04,0_1th,2.2336833,1.2286614,4449,5861
2019_06_04,0_1th,3.7090075,2.7752209,2080,8036
2019_06_04,0_1th,3.6335375,2.5382555,12904,8734
2019_06_04,0_1th,3.6088655,2.627952,3393,5153
2019_06_04,0_1th,3.7145238,1.7538415,5071,6158
2019_06_04,0_1th,3.1450288,2.6228263,6876,10350
2019_06_04,0_1th,4.0005035,2.9921572,2797,8351
2019_06_04,0_1th,3.0755723,2.8446572,6715,10731
2019_06_04,0_1th,3.24647,2.747805,12549,7426
2019_06_04,0_1th,2.74007,2.5128407,3899,3227
2019_06_04,0_1th,4.1133275,2.7316236,11244,8412
2019_06_04,0_1th,2.8599744,2.6700776,8664,10221
2019_06_04,0_1th,2.085037,0.69794244,2833,4442
2019_06_04,0_1th,3.644098,2.6690753,1333,8454
2019_06_04,0_1th,1.4460927,2.568894,3441,8785
2019_06_04,0_1th,2.964079,1.8075943,8415,7321
2019_06_04,0_1th,1.9627109,2.4146547,10412,6710
2019_06_04,0_1th,2.4553938,2.5058088,3266,3076
2019_06_04,0_1th,3.6240995,2.2498913,5942,5315
2019_06_04,0_1th,2.0551684,2.5736003,5635,9424
2019_06_04,0_1th,2.7854176,2.7448316,4653,5515
2019_06_04,0_1th,4.3341455,1.8311493,5595,10240
2019_06_04,0_1th,5.055605,2.9539335,10285,10205
2019_06_04,0_1th,2.160956,2.1760716,12547,7323
2019_06_04,0_1th,2.8942301,2.221133,5175,4940
2019_06_04,0_1th,2.1186697,2.65281,3241,7104
2019_06_04,0_1th,1.7971205,2.8928816,5151,4494
2019_06_04,0_1th,2.4767165,1.5333546,4090,3401
2019_06_04,0_1th,2.4676926,2.7733645,8104,6791
2019_06_04,0_1th,2.8034523,2.4756708,3502,3099
2019_06_04,0_1th,4.0904865,2.6093006,5321,9834
2019_06_04,0_1th,2.462934,2.524416,2840,9968
2019_06_04,0_1th,2.340318,2.6910074,2743,3458
2019_06_04,0_1th,1.2924722,2.302495,12491,7105
2019_06_04,0_1th,2.928691,2.1767952,10397,11618
2019_06_04,0_1th,4.3387375,2.9185014,5696,10709
2019_06_04,0_1th,2.027377,2.7963266,8831,10232
2019_06_04,0_1th,4.2683196,1.9255282,5644,10693
2019_06_04,0_1th,2.7775009,2.6468165,6467,4664
2019_06_04,0_1th,3.1873605,2.5305967,2305,8180
2019_06_04,0_1th,2.8678014,2.4083781,10053,7704
2019_06_04,0_1th,2.745851,2.311642,5809,10245
2019_06_04,0_1th,3.1332679,3.0004537,3321,9723
2019_06_04,0_1th,0.6936521,2.814663,8533,8843
2019_06_04,0_1th,3.656095,2.9829593,4462,4446
2019_06_04,0_1th,1.6864535,2.9851222,10260,7470
2019_06_04,0_1th,3.2021816,2.7204351,4106,2536
2019_06_04,0_1th,1.5846831,1.802844,5423,9720
2019_06_04,0_1th,2.9333212,2.9812348,3539,2555
2019_06_04,0_1th,3.7208273,2.5547554,8036,11669
2019_06_04,0_1th,3.2837198,2.8877592,5699,4966
2019_06_04,0_1th,4.340975,2.6600819,2817,2850
2019_06_04,0_1th,1.9055159,2.2641432,10462,8338
2019_06_04,0_1th,3.6637414,2.4258041,3584,6211
2019_06_04,0_1th,2.9324985,1.7576962,2549,6908
2019_06_04,0_1th,2.1037662,2.53541,8311,7390
2019_06_04,0_1th,2.7325351,2.4156342,7035,10735
2019_06_04,0_1th,1.5676503,2.805609,8819,10374
2019_06_04,0_1th,3.9961483,2.3019063,6913,11016
2019_06_04,0_1th,2.9155223,2.9573069,8929,10336
2019_06_04,0_1th,3.758675,2.980095,7221,9064
2019_06_04,0_1th,1.2302533,2.8023245,4836,3831
2019_06_04,0_1th,3.42512,2.8406773,3583,6626
2019_06_04,0_1th,4.088278,2.0972984,6751,10722
2019_06_04,0_1th,4.2512326,1.5779631,5311,10461
2019_06_04,0_1th,3.128432,2.7570152,6011,8423
2019_06_04,0_1th,3.0219972,2.1844375,6541,11082
