Date,Stratum,Landsat,Guzinski,row,col
2019_07_28,0_1th,2.423603,2.563965,2944,9882
2019_07_28,0_1th,1.1877381,0.8122326,2253,10200
2019_07_28,0_1th,5.0080113,1.9980189,10246,10154
2019_07_28,0_1th,1.940476,2.1581855,2313,8776
2019_07_28,0_1th,0.63153577,2.4796448,10305,9215
2019_07_28,0_1th,1.696055,1.9406677,5672,9605
2019_07_28,0_1th,0.16647403,1.0738615,1671,9002
2019_07_28,0_1th,2.9135776,2.0311882,2737,9936
2019_07_28,0_1th,3.8941598,2.5117857,9749,7192
2019_07_28,0_1th,0.758784,1.1408701,10499,9026
2019_07_28,0_1th,2.4378223,1.0576173,3571,9734
2019_07_28,0_1th,4.9322233,2.318543,9359,11787
2019_07_28,0_1th,2.2207947,2.3129604,2807,9102
2019_07_28,0_1th,1.1064037,2.0786006,5138,8844
2019_07_28,0_1th,2.0929139,2.2060459,8477,7116
2019_07_28,0_1th,1.8289585,1.2612903,2649,10069
2019_07_28,0_1th,0.71916974,0.46225682,10588,11809
2019_07_28,0_1th,1.245138,1.3942227,3526,9849
2019_07_28,0_1th,1.8707591,2.033722,3836,9353
2019_07_28,0_1th,1.4135957,2.185172,3524,9304
2019_07_28,0_1th,0.07599137,2.492686,1295,8562
2019_07_28,0_1th,2.9724133,2.248676,7527,7717
2019_07_28,0_1th,3.1837647,2.0029569,5892,10297
2019_07_28,0_1th,1.5518805,2.5223157,2130,8902
2019_07_28,0_1th,2.1089244,2.430159,6769,10946
2019_07_28,0_1th,3.0466359,1.965354,8779,11867
2019_07_28,0_1th,1.2233001,2.1212244,4093,9448
2019_07_28,0_1th,0.030016754,1.6555476,1908,8163
2019_07_28,0_1th,2.2652285,1.7177273,3902,9646
2019_07_28,0_1th,2.4280453,2.4477649,9870,7214
2019_07_28,0_1th,2.4271917,2.5728624,2653,8427
2019_07_28,0_1th,4.2975535,2.0862176,12762,8594
2019_07_28,0_1th,2.5136065,1.8763447,5284,10420
2019_07_28,0_1th,2.609826,2.3586729,2285,8778
2019_07_28,0_1th,1.4302503,2.325169,10397,8452
2019_07_28,0_1th,2.7741134,2.496922,6380,10041
2019_07_28,0_1th,1.7716674,1.7081344,2801,8540
