Date,Stratum,Landsat,Guzinski,row,col
2019_07_10,0_1th,0.12582234,1.9739597,6241,5585
2019_07_10,0_1th,3.894813,1.7431931,5877,9495
2019_07_10,0_1th,3.133175,2.3881152,6054,11084
2019_07_10,0_1th,3.0358405,2.714923,5775,10435
2019_07_10,0_1th,2.8305542,2.2637918,8986,4893
2019_07_10,0_1th,2.5988588,1.8738271,5903,10447
2019_07_10,0_1th,3.3564646,2.7099376,6587,5389
2019_07_10,0_1th,1.8103331,2.9729936,3407,9045
2019_07_10,0_1th,3.9685805,2.0255382,8552,4828
2019_07_10,0_1th,1.894953,2.3349228,6859,3713
2019_07_10,0_1th,1.2259668,0.9951922,3703,662
2019_07_10,0_1th,0.9895244,2.996056,4879,7682
2019_07_10,0_1th,2.2228289,2.7982297,7877,3673
2019_07_10,0_1th,0.7434695,0.9123465,7181,11153
2019_07_10,0_1th,2.8029995,3.0172892,5280,9484
2019_07_10,0_1th,0.9372996,2.403935,4650,6702
2019_07_10,0_1th,0.8349608,2.1195526,6464,4434
2019_07_10,0_1th,2.1495824,2.4029014,3834,9476
2019_07_10,0_1th,1.29334,2.6732297,5999,5589
2019_07_10,0_1th,3.5736198,2.9459286,5317,9580
2019_07_10,0_1th,3.7600749,2.6424384,7301,5274
2019_07_10,0_1th,3.426775,2.7146933,6078,5460
2019_07_10,0_1th,3.721021,1.279335,8288,4865
2019_07_10,0_1th,2.2949712,1.6829126,3975,6010
2019_07_10,0_1th,2.769075,2.841897,8612,3808
2019_07_10,0_1th,3.9405732,2.2118611,8327,4659
2019_07_10,0_1th,2.6659458,2.6207514,5413,10090
2019_07_10,0_1th,3.9261985,1.8883774,6491,5753
2019_07_10,0_1th,2.8885136,2.8754709,5698,9988
2019_07_10,0_1th,3.587994,2.731175,6909,10238
2019_07_10,0_1th,3.0839252,2.4105682,9166,5246
2019_07_10,0_1th,2.5725262,2.0828657,4081,7106
2019_07_10,0_1th,2.4845533,1.8718677,6277,4692
2019_07_10,0_1th,0.6982966,2.7844875,6187,5355
2019_07_10,0_1th,2.5325177,3.0049233,4406,5915
2019_07_10,0_1th,1.8578902,2.7586756,5693,9997
2019_07_10,0_1th,3.0542045,2.8258965,6548,5250
2019_07_10,0_1th,0.7246435,2.5711503,6790,8510
2019_07_10,0_1th,3.1858094,2.7896235,9044,11441
2019_07_10,0_1th,2.1434996,2.6888363,8868,5542
2019_07_10,0_1th,2.322268,3.0318718,7263,3659
2019_07_10,0_1th,1.1268903,1.1734142,5535,10643
2019_07_10,0_1th,2.3466318,2.744619,7596,3578
2019_07_10,0_1th,2.0953798,2.6375482,5398,8068
2019_07_10,0_1th,0.0642114,2.962941,4788,6580
2019_07_10,0_1th,3.7308812,2.7386189,7135,10236
2019_07_10,0_1th,0.95871717,2.634633,3593,7269
2019_07_10,0_1th,3.1755862,2.7274077,5748,9566
2019_07_10,0_1th,2.985919,2.1091475,6636,5315
2019_07_10,0_1th,3.966632,2.9071538,5161,9078
2019_07_10,0_1th,0.55303043,3.0135407,8751,5370
2019_07_10,0_1th,2.919055,2.250413,6563,9746
2019_07_10,0_1th,4.3831544,2.6362534,6777,8881
2019_07_10,0_1th,2.5901346,2.952765,5342,8424
2019_07_10,0_1th,1.3872728,1.8627942,9986,11113
2019_07_10,0_1th,1.4023086,2.0415874,8722,11535
2019_07_10,0_1th,2.9387076,0.31019884,5917,10895
2019_07_10,0_1th,3.0852706,2.594521,5992,5284
2019_07_10,0_1th,1.6349951,2.5407872,6775,5235
2019_07_10,0_1th,3.8255138,2.7419162,6170,4595
2019_07_10,0_1th,2.940418,1.7380462,6560,11310
2019_07_10,0_1th,2.3813381,2.8420923,4583,6331
2019_07_10,0_1th,3.0832272,2.444669,7598,4854
2019_07_10,0_1th,3.2451115,2.7571497,5340,9044
2019_07_10,0_1th,2.8773236,3.0132797,6143,10855
2019_07_10,0_1th,2.399925,2.5592425,6843,3936
2019_07_10,0_1th,2.2168138,2.24259,6535,4245
2019_07_10,0_1th,2.9499996,2.3802106,8434,5698
2019_07_10,0_1th,3.1932702,2.2612345,5943,8628
2019_07_10,0_1th,3.2170143,2.6148622,6401,10805
2019_07_10,0_1th,3.6658177,2.045281,8543,5502
2019_07_10,0_1th,3.2843423,2.3998764,9056,4637
2019_07_10,0_1th,0.97215813,2.9604764,4682,6716
2019_07_10,0_1th,1.7004236,1.7990392,6311,10928
2019_07_10,0_1th,2.0329256,2.726518,9133,11192
2019_07_10,0_1th,4.0084553,3.0012789,3192,8414
2019_07_10,0_1th,3.9244895,2.447102,3437,6168
2019_07_10,0_1th,3.2531486,2.8730884,5759,9732
2019_07_10,0_1th,3.3502343,2.6764488,5860,7991
2019_07_10,0_1th,3.3119295,2.7118006,7307,5349
2019_07_10,0_1th,1.8322278,2.93026,4584,6875
2019_07_10,0_1th,1.3554229,1.5406063,9746,5465
2019_07_10,0_1th,0.7110438,2.7481873,5693,10413
2019_07_10,0_1th,3.9690254,1.7708806,4809,9927
2019_07_10,0_1th,3.8180056,2.5865731,7788,4818
2019_07_10,0_1th,0.13797465,2.2968404,6888,5816
2019_07_10,0_1th,2.2394185,2.612679,6149,4175
2019_07_10,0_1th,1.4762692,2.8200378,1724,9710
2019_07_10,0_1th,1.0381854,2.7083075,7732,4790
2019_07_10,0_1th,0.6898074,2.1575413,5212,7149
2019_07_10,0_1th,3.340392,2.367038,5553,9652
2019_07_10,0_1th,3.7038758,2.1859446,5385,10534
2019_07_10,0_1th,0.86676157,2.1247594,4254,5759
2019_07_10,0_1th,0.279935,2.6107235,2620,2166
2019_07_10,0_1th,1.707892,2.51514,4045,6432
2019_07_10,0_1th,5.0800004,2.8564494,6057,4138
2019_07_10,0_1th,3.2000275,2.6446464,5322,4549
2019_07_10,0_1th,2.3224437,2.6271758,2622,9740
2019_07_10,0_1th,1.4710245,2.7641125,8209,4566
2019_07_10,0_1th,2.2311702,2.74126,7499,3611
2019_07_10,0_1th,2.1371872,2.6301267,2863,4434
2019_07_10,0_1th,3.2641797,2.878969,9437,5211
2019_07_10,0_1th,2.3051002,2.1751146,5729,10141
2019_07_10,0_1th,1.7235562,2.278488,6402,4310
2019_07_10,0_1th,2.889397,2.3240047,3561,349
2019_07_10,0_1th,1.9240954,1.66563,9259,11647
2019_07_10,0_1th,1.444298,2.5317674,5457,8014
