Date,Stratum,Landsat,Guzinski,row,col
2019_04_29,0_1th,3.0703728,1.4631174,6777,8404
2019_04_29,0_1th,2.8943858,0.894356,3995,9637
2019_04_29,0_1th,1.5672174,0.9395452,10886,11747
2019_04_29,0_1th,0.5108738,1.7979343,4131,4635
2019_04_29,0_1th,2.8989735,0.5509054,3651,332
2019_04_29,0_1th,3.0274084,1.657639,3915,6784
2019_04_29,0_1th,2.9538379,1.8095555,6704,9882
2019_04_29,0_1th,2.097127,1.7985651,6085,8173
2019_04_29,0_1th,2.362429,1.535253,7635,6631
2019_04_29,0_1th,2.330653,1.5612986,8862,9896
2019_04_29,0_1th,2.1905644,1.4352909,6145,5748
2019_04_29,0_1th,2.826216,1.5164751,6809,9595
2019_04_29,0_1th,2.4579089,1.66648,5620,10793
2019_04_29,0_1th,2.8002574,1.2212038,6725,9798
2019_04_29,0_1th,3.2264931,1.564026,4710,4245
2019_04_29,0_1th,3.4757316,1.2377473,11500,8719
2019_04_29,0_1th,2.7313354,1.7927932,3226,6652
2019_04_29,0_1th,2.2094085,1.1941727,2012,8144
2019_04_29,0_1th,2.0128877,0.676722,8109,6786
2019_04_29,0_1th,3.7385871,0.94250447,3048,8981
2019_04_29,0_1th,3.1234136,0.86439013,5477,10667
2019_04_29,0_1th,1.0324055,1.7608491,4287,3928
2019_04_29,0_1th,3.4859467,1.6421442,9573,7789
2019_04_29,0_1th,3.862879,1.4843922,4444,5004
2019_04_29,0_1th,2.2709312,1.5271025,5424,10195
2019_04_29,0_1th,1.7911699,1.6427971,4290,5882
2019_04_29,0_1th,3.933957,1.4114387,3920,6602
2019_04_29,0_1th,2.8214364,1.3963655,4180,2898
2019_04_29,0_1th,2.8478308,1.7648544,3171,3075
2019_04_29,0_1th,2.364798,1.6096461,5024,10061
2019_04_29,0_1th,3.4842987,1.5454518,7705,9290
2019_04_29,0_1th,3.3253338,1.6097305,4738,5763
2019_04_29,0_1th,3.618136,1.21147,6003,11103
2019_04_29,0_1th,3.2689779,1.7103951,9981,9544
2019_04_29,0_1th,3.3383374,0.9345826,8524,9815
2019_04_29,0_1th,3.9443395,1.4247309,6232,4695
2019_04_29,0_1th,2.7490966,0.8180782,6605,9096
2019_04_29,0_1th,4.35433,0.8263564,8467,4823
2019_04_29,0_1th,1.5442363,1.5818433,3754,4132
2019_04_29,0_1th,2.585567,1.4868623,3265,1455
2019_04_29,0_1th,1.7928023,1.4425786,6872,10130
2019_04_29,0_1th,3.438058,1.5437846,5043,5692
2019_04_29,0_1th,2.218934,1.7102201,9955,9805
2019_04_29,0_1th,2.7118795,1.0304952,3972,3563
2019_04_29,0_1th,1.9729158,1.0398027,3625,5292
2019_04_29,0_1th,3.0421083,1.681355,10095,8105
2019_04_29,0_1th,3.0392585,1.6505407,2969,3001
2019_04_29,0_1th,3.3348436,1.70549,9827,9806
2019_04_29,0_1th,2.6956177,1.3448749,2282,3391
2019_04_29,0_1th,3.0991094,1.3139018,3862,9020
2019_04_29,0_1th,1.6385101,1.4242692,9059,10224
2019_04_29,0_1th,2.2300348,1.6875554,10624,8455
2019_04_29,0_1th,1.4304307,1.378274,9450,8262
2019_04_29,0_1th,3.6717503,1.7681866,5222,5439
2019_04_29,0_1th,3.3541586,0.43784654,5623,10001
2019_04_29,0_1th,2.6638954,0.9104117,3090,8039
2019_04_29,0_1th,2.293649,1.4736772,11533,9020
2019_04_29,0_1th,3.5532947,1.5322484,5412,4383
2019_04_29,0_1th,3.3594618,0.6918478,1438,9560
2019_04_29,0_1th,2.7284396,0.6033531,6601,11311
2019_04_29,0_1th,0.8140878,1.4483532,3721,5396
2019_04_29,0_1th,1.6964389,1.5443397,3537,3402
2019_04_29,0_1th,2.8651824,1.1228076,6827,8384
2019_04_29,0_1th,3.3988938,1.6042509,8745,5413
2019_04_29,0_1th,2.454861,0.9955306,4326,4918
2019_04_29,0_1th,2.350504,0.7035913,3680,8157
2019_04_29,0_1th,2.6983545,1.0057924,8100,6842
2019_04_29,0_1th,1.7292459,1.3877375,2664,3841
2019_04_29,0_1th,2.2395165,1.3595798,3575,7374
2019_04_29,0_1th,2.9823484,1.6369671,8401,5099
2019_04_29,0_1th,1.4145161,1.6293869,10361,9621
2019_04_29,0_1th,2.0768447,1.4243155,5411,7196
2019_04_29,0_1th,2.3276334,1.5014564,6962,5945
2019_04_29,0_1th,3.9770823,1.7027748,4332,6301
2019_04_29,0_1th,2.5846584,1.626278,9796,10021
2019_04_29,0_1th,2.7205665,1.2523599,2422,3234
2019_04_29,0_1th,3.2002661,0.79590905,4269,5775
2019_04_29,0_1th,3.3593752,1.1678636,2276,10070
2019_04_29,0_1th,1.3345361,1.8093734,7112,5224
2019_04_29,0_1th,2.7171857,1.0552213,5658,10074
2019_04_29,0_1th,1.1231606,1.25408,4217,3972
2019_04_29,0_1th,2.841112,0.7780176,4271,4635
2019_04_29,0_1th,2.1823885,1.599344,7441,10989
2019_04_29,0_1th,3.0369086,1.5001228,2426,2929
2019_04_29,0_1th,2.0909915,1.0971451,4578,6322
2019_04_29,0_1th,1.314391,1.1163669,2434,2575
2019_04_29,0_1th,2.6758704,1.7064834,7322,6814
2019_04_29,0_1th,2.3799167,1.7724152,2164,8321
2019_04_29,0_1th,2.1411204,1.6588383,5717,7200
2019_04_29,0_1th,0.42692283,1.6185243,4408,3237
2019_04_29,0_1th,3.5307248,1.5676726,7726,10144
2019_04_29,0_1th,2.0834591,1.0040138,3377,7823
2019_04_29,0_1th,1.7314587,1.7241557,4771,7231
2019_04_29,0_1th,2.3503144,1.4967283,5579,6449
2019_04_29,0_1th,3.1524074,1.3525072,4344,5812
2019_04_29,0_1th,2.893005,1.3856311,5153,10269
2019_04_29,0_1th,1.9886128,1.7016215,6095,4798
2019_04_29,0_1th,2.8176906,1.4623281,6834,5014
2019_04_29,0_1th,0.12466351,0.75308335,5018,4688
2019_04_29,0_1th,3.8247006,1.4058702,5337,4613
2019_04_29,0_1th,3.1156003,1.6970906,1531,8811
2019_04_29,0_1th,3.5697913,1.1398525,6152,11116
2019_04_29,0_1th,2.0012825,0.94217515,8210,10447
2019_04_29,0_1th,3.8389788,1.0271103,5334,10313
2019_04_29,0_1th,3.299031,1.4941605,11011,7689
2019_04_29,0_1th,3.022743,1.2185843,11533,9050
2019_04_29,0_1th,3.2670696,1.6187166,4624,5512
2019_04_29,0_1th,3.6704984,1.7515589,6595,8965
2019_04_29,0_1th,3.6183305,1.6165049,5787,5273
2019_04_29,0_1th,1.2834067,0.40481383,5961,10444
2019_04_29,0_1th,3.510647,0.29486462,5983,10859
2019_04_29,0_1th,2.4812136,1.2681012,3793,6608
2019_04_29,0_1th,3.1627398,0.41953358,4856,9860
2019_04_29,0_1th,2.9201183,1.7145679,7180,5395
2019_04_29,0_1th,1.0434705,1.4690889,2222,8350
2019_04_29,0_1th,2.9408593,1.5355054,6752,9085
2019_04_29,0_1th,2.744139,1.3046919,2629,9489
