folder,comp,day,mask,maxLST,minLST,25thLST,medianLST,75thLST
S2only,minVZA,July_07,S2notMasked_withLSTmask,312.8265,273.10248,285.8434143066406,290.6072998046875,294.6247863769531
S2only,minVZA,July_07,S2notMasked_withoutLSTmask,315.28918,270.6753,285.63226318359375,289.5865173339844,293.70367431640625
S2only,minVZA,July_08,S2Masked_withLSTmask,316.7328,273.74408,285.31646728515625,290.2180480957031,295.36932373046875
S2only,minVZA,July_08,S2Masked_withoutLSTmask,317.29517,274.24213,285.2524719238281,289.87567138671875,294.33197021484375
S2only,minVZA,July_08,S2notMasked_withLSTmask,318.0618,273.54385,285.3149108886719,290.20330810546875,295.4317321777344
S2only,minVZA,July_08,S2notMasked_withoutLSTmask,316.96716,273.4237,285.28863525390625,289.571533203125,294.52978515625
S2only,minVZA,July_09,S2Masked_withLSTmask,315.74628,275.46234,284.5403747558594,285.3129577636719,286.18353271484375
S2only,minVZA,July_09,S2Masked_withoutLSTmask,316.56708,275.55368,284.6872253417969,285.55377197265625,286.4507141113281
S2only,minVZA,July_09,S2notMasked_withLSTmask,317.13132,274.98495,284.5184631347656,285.3055419921875,286.1896667480469
S2only,minVZA,July_09,S2notMasked_withoutLSTmask,317.4943,275.01108,284.6460266113281,285.4979553222656,286.4354553222656
all_preds,maxLST,July_01,S2Masked_withLSTmask,332.33615,274.0834,295.74615478515625,301.47491455078125,305.3878479003906
all_preds,maxLST,July_01,S2Masked_withoutLSTmask,332.03564,273.3899,295.3180847167969,300.3360595703125,304.3124084472656
all_preds,maxLST,July_01,S2notMasked_withLSTmask,333.3274,275.43518,295.3885803222656,301.6039733886719,305.5296325683594
all_preds,maxLST,July_01,S2notMasked_withoutLSTmask,332.54153,275.33243,294.9649353027344,300.49169921875,304.54345703125
all_preds,maxLST,July_02,S2Masked_withLSTmask,319.29852,268.94772,286.5504455566406,288.64453125,294.7783508300781
all_preds,maxLST,July_02,S2Masked_withoutLSTmask,320.53278,269.2473,286.8348693847656,288.7470703125,293.7193908691406
all_preds,maxLST,July_02,S2notMasked_withLSTmask,317.18332,270.45944,286.4861145019531,288.5331726074219,294.9955139160156
all_preds,maxLST,July_02,S2notMasked_withoutLSTmask,317.89035,270.87384,286.6791687011719,288.6542663574219,294.0377197265625
all_preds,maxLST,July_03,S2Masked_withLSTmask,325.68637,270.6031,285.0975341796875,286.03375244140625,288.0027770996094
all_preds,maxLST,July_03,S2Masked_withoutLSTmask,323.76773,268.76743,285.306884765625,286.2268981933594,287.95379638671875
all_preds,maxLST,July_03,S2notMasked_withLSTmask,320.75726,271.4969,285.00250244140625,285.92987060546875,288.0523986816406
all_preds,maxLST,July_03,S2notMasked_withoutLSTmask,320.26367,271.92252,285.17095947265625,286.0845642089844,288.021484375
all_preds,maxLST,July_04,S2Masked_withLSTmask,317.7765,279.49988,297.91357421875,300.33538818359375,302.76434326171875
all_preds,maxLST,July_04,S2Masked_withoutLSTmask,319.28583,279.83334,296.4043273925781,299.5260314941406,302.62591552734375
all_preds,maxLST,July_04,S2notMasked_withLSTmask,315.8731,278.7408,297.849609375,300.38323974609375,302.8699035644531
all_preds,maxLST,July_04,S2notMasked_withoutLSTmask,320.58908,279.51495,296.3450012207031,299.64862060546875,302.7423095703125
all_preds,maxLST,July_05,S2Masked_withLSTmask,311.3863,277.08496,287.8153991699219,288.6706848144531,289.6952819824219
all_preds,maxLST,July_05,S2Masked_withoutLSTmask,312.54404,275.59467,287.8809814453125,288.7138977050781,289.6744689941406
all_preds,maxLST,July_05,S2notMasked_withLSTmask,313.02292,277.05847,287.7820129394531,288.64703369140625,289.6976623535156
all_preds,maxLST,July_05,S2notMasked_withoutLSTmask,314.69586,278.9156,287.7980041503906,288.68963623046875,289.726318359375
all_preds,maxLST,July_06,S2Masked_withLSTmask,291.59207,282.28735,284.7757263183594,285.32781982421875,285.8382263183594
all_preds,maxLST,July_06,S2Masked_withoutLSTmask,291.42194,282.3665,284.7362365722656,285.2530822753906,285.7378234863281
all_preds,maxLST,July_06,S2notMasked_withLSTmask,291.2903,282.3062,284.7826614379883,285.3381652832031,285.8456115722656
