Tile,preds,composite,date,LST_Mask,S2_Mask,ET_var,Mask_Name,name_var,vmax,vmin,vp25,vp50,vp75,vlenght
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,SSRD,727.02716,469.29163,645.954345703125,650.4514465332031,654.5092163085938,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,SSRD_mean2,370.58728,220.05695,303.4928283691406,306.31854248046875,310.8168640136719,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,SSRD_mean2,383.34412,185.34839,302.8059387207031,305.8599853515625,308.55780029296875,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,SSRD_mean2,370.58728,220.05695,303.4967498779297,306.31854248046875,310.77838134765625,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,SSRD_mean2,383.34412,185.34839,302.8059387207031,305.8599853515625,308.55780029296875,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,TEMP,298.43112,298.09702,298.2195739746094,298.31256103515625,298.3714904785156,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,TEMP,298.5009,297.73596,298.2386474609375,298.3107604980469,298.3755798339844,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,TEMP,298.43112,298.09702,298.2188415527344,298.31256103515625,298.37147521972656,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,TEMP,298.5009,297.73596,298.2386474609375,298.3107604980469,298.3755798339844,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,VZA,11.425149,9.579259,10.699174880981445,10.725102424621582,11.110688209533691,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,VZA,11.446808,9.316449,9.959529876708984,10.439912796020508,10.796270370483398,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,VZA,11.425149,9.579259,10.699174880981445,10.725102424621582,11.112359523773193,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,VZA,11.446808,9.316449,9.959529876708984,10.439912796020508,10.796270370483398,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,VZA_at_acq_file_sub,11,10,11.0,11.0,11.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,VZA_at_acq_file_sub,11,9,10.0,10.0,11.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,VZA_at_acq_file_sub,11,10,11.0,11.0,11.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,VZA_at_acq_file_sub,11,9,10.0,10.0,11.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,WSPEED,3.1446612,2.5831718,2.8212435245513916,2.9606480598449707,2.9955132007598877,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,WSPEED,3.1772742,2.3240829,2.6248795986175537,2.7540581226348877,2.874277889728546,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,WSPEED,3.1446612,2.5831718,2.8212636709213257,2.9606480598449707,2.9954910278320312,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,WSPEED,3.1772742,2.3240829,2.624879837036133,2.7540581226348877,2.8742780089378357,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,ZEN,36.026497,35.727085,35.770633697509766,35.90879440307617,35.917049407958984,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,ZEN,36.077976,35.706486,35.83454132080078,35.892330169677734,35.950130462646484,2248444
